ticker,fiscal_year,working_capital,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,equity_multiplier,gross_margin,net_profit_margin,roa,roe,asset_turnover,operating_cf_margin,inventory_turnover,interest_coverage,free_cash_flow,free_cash_flow_margin,altman_z_score,altman_risk_zone,piotroski_f_score,piotroski_shares_used,piotroski_note,piotroski_s1_roa_positive,piotroski_s2_cfo_positive,piotroski_s3_roa_improving,piotroski_s4_accrual_quality,piotroski_s5_leverage_improving,piotroski_s6_liquidity_improving,piotroski_s7_no_dilution,piotroski_s8_margin_improving,piotroski_s9_turnover_improving,total_current_assets,total_current_liabilities,inventory,total_assets,total_debt,total_liabilities,shareholders_equity,retained_earnings,revenue,net_income,operating_income,cogs,interest_expense,operating_cash_flow,capex,diluted_avg_shares,cash_and_equivalents,market_cap
AMZN,2021,,,,,,,,,,,,,,,,,,,,,False,no_prior_year,,,,,,,,,,,,,,,,,,,,,,,,,10754251799.0,,2563598712832.0
AMZN,2022,-8602000000.0,0.9446435811136924,0.7232372114574016,0.3467852477267316,0.9594297569893798,0.3028432485005674,3.1680737864875415,0.43805339865326287,-0.005295895000418302,-0.0058831793375479545,-0.018638346240490815,1.1108942562273734,0.09096020685509054,8.395029792181369,5.174482467258133,-16893000000.0,-0.032866845790619534,6.285551024646027,safe,3.0,True,ok,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,146791000000.0,155393000000.0,34405000000.0,462675000000.0,140118000000.0,316632000000.0,146043000000.0,83193000000.0,513983000000.0,-2722000000.0,12248000000.0,288831000000.0,2367000000.0,46752000000.0,-63645000000.0,10189000000.0,53888000000.0,2563598712832.0
AMZN,2023,7434000000.0,1.0450772206625152,0.8430483212767634,0.4449935422060794,0.6717572755417957,0.25691005467420913,2.6147566563467493,0.46982088955000567,0.05293283575597832,0.057639044129626754,0.15071207430340558,1.0889090543976174,0.14778743356211452,8.999571785065635,11.581395348837209,32217000000.0,0.0560505232391242,6.356124859910843,safe,7.0,False,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,172351000000.0,164917000000.0,33318000000.0,527854000000.0,135611000000.0,325979000000.0,201875000000.0,113618000000.0,574785000000.0,30425000000.0,36852000000.0,304739000000.0,3182000000.0,84946000000.0,-52729000000.0,10492000000.0,73387000000.0,2563598712832.0
AMZN,2024,11436000000.0,1.063734806137178,0.8730542659852534,0.43904899376361944,0.45774032241144175,0.20947552704938757,2.1851732699234185,0.48854393464156787,0.09287117197186653,0.09481288026449286,0.2071825715984194,1.020907545919788,0.1816370644508503,9.663211514541254,28.509143807148796,32878000000.0,0.05153622724971354,6.3307466928091385,safe,7.0,False,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,190867000000.0,179431000000.0,34214000000.0,624894000000.0,130900000000.0,338924000000.0,285970000000.0,172866000000.0,637959000000.0,59248000000.0,68593000000.0,326288000000.0,2406000000.0,115877000000.0,-82999000000.0,10721000000.0,78779000000.0,2563598712832.0
AMZN,2025,11078000000.0,1.0508153482718285,0.8750166280589895,0.39820187610375907,0.37217228418863196,0.18701607007953136,1.9900551007748166,0.5028566486824266,0.10833784334183261,0.09494622525493801,0.1889482198679041,0.8763902097936291,0.19460082240237458,9.826824191124775,35.16930518909411,7695000000.0,0.010733355278941701,5.423504474705522,safe,6.0,False,ok,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,229083000000.0,218005000000.0,38325000000.0,818042000000.0,152987000000.0,406977000000.0,411065000000.0,250536000000.0,716924000000.0,77670000000.0,79975000000.0,356414000000.0,2274000000.0,139514000000.0,-131819000000.0,10827000000.0,86810000000.0,2563598712832.0
COST,2021,,,,,,,,,,,,,,,,,,,,,False,no_prior_year,,,,,,,,,,,,,,,,,,,,,,,,,443652540.0,,443190280192.0
COST,2022,698000000.0,1.0218138633664604,0.4621851365710357,0.3188636789799362,0.43789361495979073,0.1408689960415173,3.108516616606918,0.12148717361227385,0.025749711395260715,0.0910762709222953,0.2831121015405484,3.5369822024124926,0.03257047683671581,11.13430502038309,49.322784810126585,3501000000.0,0.0154260334693374,10.4011632772775,safe,3.0,False,ok,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32696000000.0,31998000000.0,17907000000.0,64166000000.0,9039000000.0,43519000000.0,20642000000.0,15585000000.0,226954000000.0,5844000000.0,7793000000.0,199382000000.0,158000000.0,7392000000.0,-3891000000.0,444757000.0,10203000000.0,443190280192.0
COST,2023,2296000000.0,1.0683679242473871,0.5725515886013757,0.40794449572700475,0.354537473062495,0.1287648201292866,2.753372176550403,0.12259688802674482,0.025968880267448098,0.09119633591326783,0.2510974539069359,3.5117546453314783,0.04568079574064138,12.303142542971237,50.7125,6745000000.0,0.02783854059185274,10.388203051696996,safe,8.0,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,35879000000.0,33583000000.0,16651000000.0,68994000000.0,8884000000.0,43936000000.0,25058000000.0,19521000000.0,242290000000.0,6292000000.0,8114000000.0,212586000000.0,160000000.0,11068000000.0,-4323000000.0,444452000.0,13700000000.0,443190280192.0
COST,2024,-1218000000.0,0.965655312429506,0.4398545003383713,0.2793255131964809,0.3458216916433833,0.11698242900717447,2.956184912369825,0.1261333134213391,0.028952301603832536,0.1054975583909725,0.3118702904072475,3.6438401283097765,0.04456225707694545,12.598900787580034,54.94082840236686,6629000000.0,0.026051962444930892,10.169520070858741,safe,7.0,False,ok,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,34246000000.0,35464000000.0,18647000000.0,69831000000.0,8169000000.0,46209000000.0,23622000000.0,17619000000.0,254453000000.0,7367000000.0,9285000000.0,222358000000.0,169000000.0,11339000000.0,-4710000000.0,444759000.0,9906000000.0,443190280192.0
COST,2025,1272000000.0,1.0342783227336423,0.5460817074485286,0.3816158240810607,0.2802427650528048,0.10600656299044087,2.6436359895761896,0.12843206714262356,0.029425763438516175,0.10504675806430692,0.27770539020710466,3.569890660060442,0.0484495067851109,13.050403938742758,67.42207792207792,7837000000.0,0.028473849619416135,9.992782881666859,safe,6.0,False,ok,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,38380000000.0,37108000000.0,18116000000.0,77099000000.0,8173000000.0,47935000000.0,29164000000.0,22650000000.0,275235000000.0,8099000000.0,10383000000.0,239886000000.0,154000000.0,13335000000.0,-5498000000.0,444803000.0,14161000000.0,443190280192.0
KR,2022,,,,,,,,,,,,,,,,,,,,,False,no_prior_year,,,,,,,,,,,,,,,,,,,,,,,,,612575611.0,,43027410944.0
KR,2023,-4568000000.0,0.735004060795916,0.2964381018679661,0.05888154078199327,2.0326628161720772,0.4113415150232755,4.941545508862776,0.21434256498806134,0.015135776821486868,0.045220966084275435,0.22346146186018723,2.987687161195413,0.030339003628809237,15.407407407407407,7.7121495327102805,1420000000.0,0.009577897988641422,4.525663399715933,safe,3.0,False,ok,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12670000000.0,17238000000.0,7560000000.0,49623000000.0,20412000000.0,39609000000.0,10042000000.0,25601000000.0,148258000000.0,2244000000.0,4126000000.0,116480000000.0,535000000.0,4498000000.0,-3078000000.0,727000000.0,1015000000.0,43027410944.0
KR,2024,-3110000000.0,0.8063270643915805,0.3638684767717026,0.11726242371403661,1.6570813603099441,0.3810909810909811,4.348256564786913,0.22236885076546764,0.014422916708322502,0.042847242847242846,0.18631080499354283,2.9707751707751706,0.04524157052499683,15.912035458574838,7.020408163265306,2884000000.0,0.01922166903271816,4.509711835729557,safe,7.0,True,ok,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12948000000.0,16058000000.0,7105000000.0,50505000000.0,19247000000.0,38904000000.0,11615000000.0,26946000000.0,150039000000.0,2164000000.0,3096000000.0,116675000000.0,441000000.0,6788000000.0,-3904000000.0,725000000.0,1883000000.0,43027410944.0
KR,2025,-667000000.0,0.9581555834378921,0.516624843161857,0.24836888331242157,3.027398913699457,0.4766991029344686,6.350754375377187,0.22704131916831494,0.0181140950089381,0.050649992397749734,0.32166566083283044,2.7961646647407634,0.039382013689226024,16.08145372268967,8.553333333333333,1777000000.0,0.012078329017216886,4.368944916993193,safe,7.0,True,ok,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15273000000.0,15940000000.0,7038000000.0,52616000000.0,25082000000.0,44335000000.0,8285000000.0,28724000000.0,147123000000.0,2665000000.0,3849000000.0,113720000000.0,450000000.0,5794000000.0,-4017000000.0,720000000.0,3959000000.0,43027410944.0
KR,2026,-3603000000.0,0.8010271703114645,0.42042191296664455,0.1841175171195052,4.1660199088915135,0.49430464636758553,8.428041167538384,0.23300957722057408,0.006881510681242465,0.020339118771645348,0.1714189303188797,2.9556182811843135,0.049518429715121715,16.25843503230438,2.9577464788732395,3456000000.0,0.02340797334091925,4.388993148905579,safe,6.0,True,ok,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14505000000.0,18108000000.0,6892000000.0,49953000000.0,24692000000.0,44017000000.0,5927000000.0,28850000000.0,147642000000.0,1016000000.0,1890000000.0,113240000000.0,639000000.0,7311000000.0,-3855000000.0,655000000.0,3334000000.0,43027410944.0
TGT,2022,,,,,,,,,,,,,,,,,,,,,False,no_prior_year,,,,,,,,,,,,,,,,,,,,,,,,,452855589.0,,55198568448.0
TGT,2023,-1654000000.0,0.9151794871794872,0.22292307692307692,0.1143076923076923,1.6980947293447293,0.35760757476328864,4.748486467236467,0.24572947214076246,0.025476539589442817,0.05212337114465173,0.2475071225071225,2.0459360644979845,0.036821847507331376,6.097192384621083,8.05020920502092,-1510000000.0,-0.013837976539589443,3.164808812968506,safe,3.0,False,ok,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17846000000.0,19500000000.0,13499000000.0,53335000000.0,19073000000.0,42103000000.0,11232000000.0,5005000000.0,109120000000.0,2780000000.0,3848000000.0,82306000000.0,478000000.0,4018000000.0,-5528000000.0,464700000.0,2229000000.0,55198568448.0
TGT,2024,-1806000000.0,0.9064442602569416,0.29071694985495233,0.19710940737670948,1.4626265634306135,0.3549028108967411,4.1212030970815965,0.2754254645663427,0.03852455963951886,0.07475251101958234,0.30807027992852887,1.9403858660307827,0.08026105090678881,6.131810124089029,11.368525896414342,3815000000.0,0.035517446840204074,3.2108219288248048,safe,7.0,True,ok,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17498000000.0,19304000000.0,11886000000.0,55356000000.0,19646000000.0,41924000000.0,13432000000.0,7093000000.0,107412000000.0,4138000000.0,5707000000.0,77828000000.0,502000000.0,8621000000.0,-4806000000.0,462800000.0,3805000000.0,55198568448.0
TGT,2025,-1345000000.0,0.9353334294918025,0.3228039809606231,0.2289533150632242,1.3551752352379653,0.3440426526337655,3.9389744988408566,0.28211624720830286,0.03838935495373759,0.07081652789558414,0.27894449747715805,1.8446917897142066,0.06913086725597282,6.213108097133111,13.54257907542579,4476000000.0,0.04200213951917122,3.0991342373496726,safe,7.0,True,ok,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,19454000000.0,20799000000.0,12740000000.0,57769000000.0,19875000000.0,43103000000.0,14666000000.0,8090000000.0,106566000000.0,4091000000.0,5566000000.0,76502000000.0,411000000.0,7367000000.0,-2891000000.0,461800000.0,4762000000.0,55198568448.0
TGT,2026,-1225000000.0,0.9422986340084786,0.36274140367404617,0.258502119642016,1.2551809464893289,0.3410657253319886,3.6801732137333745,0.2793376598587517,0.03535980148883375,0.062279374684820976,0.2291988864831426,1.7613044209110775,0.06262645543042565,6.030266730554224,11.498876404494382,2835000000.0,0.027056690208054974,3.0036666811901593,safe,6.0,True,ok,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,20005000000.0,21230000000.0,12304000000.0,59490000000.0,20290000000.0,43325000000.0,16165000000.0,9297000000.0,104780000000.0,3705000000.0,5117000000.0,75511000000.0,445000000.0,6562000000.0,-3727000000.0,455600000.0,5488000000.0,55198568448.0
WMT,2022,,,,,,,,,,,,,,,,,,,,,False,no_prior_year,,,,,,,,,,,,,,,,,,,,,,,,,7972402501.0,,1010661457920.0
WMT,2023,-16543000000.0,0.8205709451398078,0.20693507451354692,0.09354866699928414,0.7682969762559816,0.24228506108216796,3.171045597381769,0.24140463839525986,0.01910716535059522,0.04802690822666398,0.15229551588802107,2.5135548547062667,0.047180629783948345,8.19642604638009,9.599624060150376,11984000000.0,0.0196044751336929,6.996580905761937,safe,3.0,False,ok,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75655000000.0,92198000000.0,56576000000.0,243197000000.0,58923000000.0,159206000000.0,76693000000.0,83135000000.0,611289000000.0,11680000000.0,20428000000.0,463721000000.0,2128000000.0,28841000000.0,-16857000000.0,8202000000.0,8625000000.0,1010661457920.0
WMT,2024,-15538000000.0,0.8318671211383434,0.23789428123140183,0.10676838175620841,0.731221902910769,0.24295262659519254,3.0097303871883234,0.24375390549662487,0.023932111861137896,0.0614542846841707,0.18496082803687053,2.5678588266989966,0.05512208293153327,8.794308680518176,10.067834513604174,15120000000.0,0.02332883317261331,7.0925016491626485,safe,8.0,True,ok,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,76877000000.0,92415000000.0,54892000000.0,252399000000.0,61321000000.0,161828000000.0,83861000000.0,89814000000.0,648125000000.0,15511000000.0,27012000000.0,490142000000.0,2683000000.0,35726000000.0,-20606000000.0,8109000000.0,9867000000.0,1010661457920.0
WMT,2025,-17126000000.0,0.8226828460200447,0.2383728153731467,0.09356622214859604,0.6604990495863229,0.23047814034805214,2.86577741641304,0.24851061330278934,0.028541010448100913,0.07451796812397679,0.2135519101666795,2.610908547175671,0.053515128820752295,9.193690659049468,10.758064516129032,12660000000.0,0.018590717857221526,7.148379409991419,safe,8.0,True,ok,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,79458000000.0,96584000000.0,56435000000.0,260823000000.0,60114000000.0,163131000000.0,91013000000.0,98313000000.0,680985000000.0,19436000000.0,29348000000.0,511753000000.0,2728000000.0,36443000000.0,-23783000000.0,8081000000.0,9037000000.0,1010661457920.0
WMT,2026,-22595000000.0,0.7897533242144247,0.24214424624775516,0.09981483032316296,0.6735296184386199,0.2356956173507384,2.857624702611,0.24926699786724774,0.03069845182658102,0.07690713392443127,0.21977172570946726,2.5052447061137886,0.05828260860420409,9.288118245060112,10.655591282600929,14923000000.0,0.020925090056550886,6.668431098565888,safe,6.0,True,ok,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,84874000000.0,107469000000.0,58851000000.0,284668000000.0,67095000000.0,178488000000.0,99617000000.0,104774000000.0,713163000000.0,21893000000.0,29825000000.0,535395000000.0,2799000000.0,41565000000.0,-26642000000.0,8022000000.0,10727000000.0,1010661457920.0
